start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,metrics_latency_ms
2024-07-29 07:31:52.145688 +0000 UTC m=+52.145688,2024-07-29 07:31:52.149366 +0000 UTC m=+52.149366,0.003678,4000,1087547.580206634,3.678,7.466
2024-07-29 07:32:02.185745 +0000 UTC m=+2.185745,2024-07-29 07:32:02.191880 +0000 UTC m=+2.191880,0.006135,6000,977995.1100244499,6.135,8.501999999999999
2024-07-29 07:32:12.229986 +0000 UTC m=+12.229986,2024-07-29 07:32:12.236818 +0000 UTC m=+12.236818,0.006832,7780,1138758.7822014051,6.832000000000001,8.843
2024-07-29 07:32:22.275571 +0000 UTC m=+22.275571,2024-07-29 07:32:22.282550 +0000 UTC m=+22.282550,0.006979,9000,1289583.034818742,6.979,9.853000000000002
2024-07-29 07:32:32.321980 +0000 UTC m=+32.321980,2024-07-29 07:32:32.325196 +0000 UTC m=+32.325196,0.003216,1000,310945.27363184077,3.216,6.341
2024-07-29 07:32:42.359123 +0000 UTC m=+42.359123,2024-07-29 07:32:42.362207 +0000 UTC m=+42.362207,0.003084,3000,972762.6459143969,3.084,6.875
2024-07-29 07:32:52.396845 +0000 UTC m=+52.396845,2024-07-29 07:32:52.400640 +0000 UTC m=+52.400640,0.003795,4000,1054018.4453227932,3.7950000000000004,7.36
2024-07-29 07:33:02.436868 +0000 UTC m=+2.436868,2024-07-29 07:33:02.441922 +0000 UTC m=+2.441922,0.005054,6000,1187178.472497032,5.054,8.405
2024-07-29 07:33:12.479167 +0000 UTC m=+12.479167,2024-07-29 07:33:12.486233 +0000 UTC m=+12.486233,0.007066,8000,1132182.281347297,7.066,8.901
2024-07-29 07:33:22.525022 +0000 UTC m=+22.525022,2024-07-29 07:33:22.532057 +0000 UTC m=+22.532057,0.007035,9000,1279317.697228145,7.034999999999999,10.067
2024-07-29 07:33:32.572512 +0000 UTC m=+32.572512,2024-07-29 07:33:32.575689 +0000 UTC m=+32.575689,0.003177,1000,314762.35442241107,3.177,7.037
2024-07-29 07:33:42.611809 +0000 UTC m=+42.611809,2024-07-29 07:33:42.614886 +0000 UTC m=+42.614886,0.003077,3000,974975.6256093598,3.077,6.841
2024-07-29 07:33:52.649637 +0000 UTC m=+52.649637,2024-07-29 07:33:52.653388 +0000 UTC m=+52.653388,0.003751,4000,1066382.2980538523,3.751,7.384
2024-07-29 07:34:02.689327 +0000 UTC m=+2.689327,2024-07-29 07:34:02.694369 +0000 UTC m=+2.694369,0.005042,6000,1190003.966679889,5.042,8.486
2024-07-29 07:34:12.732239 +0000 UTC m=+12.732239,2024-07-29 07:34:12.738683 +0000 UTC m=+12.738683,0.006444,8000,1241464.9286157666,6.444,9.112
2024-07-29 07:34:22.776865 +0000 UTC m=+22.776865,2024-07-29 07:34:22.785260 +0000 UTC m=+22.785260,0.008395,9447,1125312.6861226922,8.395,10.44
2024-07-29 07:34:32.827029 +0000 UTC m=+32.827029,2024-07-29 07:34:32.830315 +0000 UTC m=+32.830315,0.003286,1000,304321.3633597079,3.286,6.437
2024-07-29 07:34:42.865355 +0000 UTC m=+42.865355,2024-07-29 07:34:42.868527 +0000 UTC m=+42.868527,0.003172,3000,945775.5359394704,3.1719999999999997,7.067
2024-07-29 07:34:52.902969 +0000 UTC m=+52.902969,2024-07-29 07:34:52.907160 +0000 UTC m=+52.907160,0.004191,4928,1175853.0183727033,4.191000000000001,7.868
2024-07-29 07:35:02.935787 +0000 UTC m=+2.935787,2024-07-29 07:35:02.940748 +0000 UTC m=+2.940748,0.004961,6000,1209433.5819391252,4.961,8.696
2024-07-29 07:35:12.979449 +0000 UTC m=+12.979449,2024-07-29 07:35:12.985644 +0000 UTC m=+12.985644,0.006195,8000,1291364.00322841,6.195,9.128
2024-07-29 07:35:23.023886 +0000 UTC m=+23.023886,2024-07-29 07:35:23.031271 +0000 UTC m=+23.031271,0.007385,10000,1354096.1408259987,7.385,10.588000000000001
2024-07-29 07:35:33.074360 +0000 UTC m=+33.074360,2024-07-29 07:35:33.077840 +0000 UTC m=+33.077840,0.00348,1000,287356.3218390805,3.48,6.479
2024-07-29 07:35:43.112620 +0000 UTC m=+43.112620,2024-07-29 07:35:43.115841 +0000 UTC m=+43.115841,0.003221,3000,931387.7677739833,3.221,6.992
2024-07-29 07:35:53.150851 +0000 UTC m=+53.150851,2024-07-29 07:35:53.155603 +0000 UTC m=+53.155603,0.004752,5000,1052188.5521885522,4.752,7.926000000000001
2024-07-29 07:36:03.192610 +0000 UTC m=+3.192610,2024-07-29 07:36:03.197714 +0000 UTC m=+3.197714,0.005104,6000,1175548.5893416929,5.104,8.302999999999999
2024-07-29 07:36:13.235315 +0000 UTC m=+13.235315,2024-07-29 07:36:13.242099 +0000 UTC m=+13.242099,0.006784,8000,1179245.283018868,6.784,8.815999999999999
2024-07-29 07:36:23.281137 +0000 UTC m=+23.281137,2024-07-29 07:36:23.288550 +0000 UTC m=+23.288550,0.007413,10000,1348981.5189531902,7.413,11.114
2024-07-29 07:36:33.331827 +0000 UTC m=+33.331827,2024-07-29 07:36:33.338237 +0000 UTC m=+33.338237,0.00641,5958,929485.1794071763,6.41,7.841000000000001
2024-07-29 07:36:43.375786 +0000 UTC m=+43.375786,2024-07-29 07:36:43.385158 +0000 UTC m=+43.385158,0.009372,11104,1184805.8045241144,9.372,10.215
2024-07-29 07:36:53.425595 +0000 UTC m=+53.425595,2024-07-29 07:36:53.442400 +0000 UTC m=+53.442400,0.016805,20000,1190121.987503719,16.805,13.440000000000001
2024-07-29 07:37:03.488297 +0000 UTC m=+3.488297,2024-07-29 07:37:03.511277 +0000 UTC m=+3.511277,0.02298,25719,1119190.6005221931,22.98,15.403
2024-07-29 07:37:13.560584 +0000 UTC m=+13.560584,2024-07-29 07:37:13.583110 +0000 UTC m=+13.583110,0.022526,30680,1361981.7100239722,22.526,16.948
2024-07-29 07:37:23.634447 +0000 UTC m=+23.634447,2024-07-29 07:37:23.661036 +0000 UTC m=+23.661036,0.026589,40000,1504381.5111512279,26.589000000000002,19.904999999999998
2024-07-29 07:37:33.717237 +0000 UTC m=+33.717237,2024-07-29 07:37:33.751147 +0000 UTC m=+33.751147,0.03391,46312,1365732.8221763491,33.910000000000004,22.637
2024-07-29 07:37:43.811612 +0000 UTC m=+43.811612,2024-07-29 07:37:43.848498 +0000 UTC m=+43.848498,0.036886,51539,1397250.989535325,36.886,25.052999999999997
2024-07-29 07:37:53.913485 +0000 UTC m=+53.913485,2024-07-29 07:37:53.959532 +0000 UTC m=+53.959532,0.046047,60000,1303016.483158512,46.047,29.833
2024-07-29 07:38:04.031410 +0000 UTC m=+4.031410,2024-07-29 07:38:04.080774 +0000 UTC m=+4.080774,0.049364,67405,1365468.7626610487,49.364,47.307
2024-07-29 07:38:14.173862 +0000 UTC m=+14.173862,2024-07-29 07:38:14.229332 +0000 UTC m=+14.229332,0.05547,72748,1311483.6848747071,55.47,41.291000000000004
2024-07-29 07:38:24.316402 +0000 UTC m=+24.316402,2024-07-29 07:38:24.377659 +0000 UTC m=+24.377659,0.061257,80000,1305973.1949001746,61.257,39.565999999999995
2024-07-29 07:38:34.464501 +0000 UTC m=+34.464501,2024-07-29 07:38:34.529667 +0000 UTC m=+34.529667,0.065166,88626,1360003.6829021268,65.166,47.226
2024-07-29 07:38:44.625365 +0000 UTC m=+44.625365,2024-07-29 07:38:44.685438 +0000 UTC m=+44.685438,0.060073,93712,1559968.7047425632,60.073,47.723
2024-07-29 07:38:54.782599 +0000 UTC m=+54.782599,2024-07-29 07:38:54.859552 +0000 UTC m=+54.859552,0.076953,100000,1299494.4966408068,76.95299999999999,53.636
2024-07-29 07:39:04.965393 +0000 UTC m=+4.965393,2024-07-29 07:39:04.985002 +0000 UTC m=+4.985002,0.019609,9045,461267.78520067316,19.609,9.413
2024-07-29 07:39:15.029966 +0000 UTC m=+15.029966,2024-07-29 07:39:15.040733 +0000 UTC m=+15.040733,0.010767,14241,1322652.5494566732,10.767000000000001,11.473
2024-07-29 07:39:25.084132 +0000 UTC m=+25.084132,2024-07-29 07:39:25.099297 +0000 UTC m=+25.099297,0.015165,20000,1318826.2446422684,15.165,13.325999999999999
2024-07-29 07:39:35.144421 +0000 UTC m=+35.144421,2024-07-29 07:39:35.165319 +0000 UTC m=+35.165319,0.020898,30000,1435544.071202986,20.898,17.258
2024-07-29 07:39:45.218024 +0000 UTC m=+45.218024,2024-07-29 07:39:45.244036 +0000 UTC m=+45.244036,0.026012,35493,1364485.622020606,26.012,18.605
2024-07-29 07:39:55.299016 +0000 UTC m=+55.299016,2024-07-29 07:39:55.330854 +0000 UTC m=+55.330854,0.031838,40882,1284063.069288272,31.837999999999997,19.934
2024-07-29 07:40:05.388183 +0000 UTC m=+5.388183,2024-07-29 07:40:05.421287 +0000 UTC m=+5.421287,0.033104,50000,1510391.4934751086,33.104,29.281000000000002
2024-07-29 07:40:15.491188 +0000 UTC m=+15.491188,2024-07-29 07:40:15.528923 +0000 UTC m=+15.528923,0.037735,57046,1511753.014442825,37.735,28.47
2024-07-29 07:40:25.598106 +0000 UTC m=+25.598106,2024-07-29 07:40:25.645552 +0000 UTC m=+25.645552,0.047446,62262,1312270.79205834,47.446000000000005,38.822
2024-07-29 07:40:35.728482 +0000 UTC m=+35.728482,2024-07-29 07:40:35.775332 +0000 UTC m=+35.775332,0.04685,70000,1494130.2027748132,46.85,37.148
2024-07-29 07:40:45.856285 +0000 UTC m=+45.856285,2024-07-29 07:40:45.908384 +0000 UTC m=+45.908384,0.052099,78371,1504270.715368817,52.099,41.209
2024-07-29 07:40:55.996441 +0000 UTC m=+55.996441,2024-07-29 07:40:56.063827 +0000 UTC m=+56.063827,0.067386,83772,1243166.2363102129,67.386,42.842999999999996
2024-07-29 07:41:06.154711 +0000 UTC m=+6.154711,2024-07-29 07:41:06.212057 +0000 UTC m=+6.212057,0.057346,90000,1569420.7093781605,57.346000000000004,47.974999999999994
2024-07-29 07:41:16.310212 +0000 UTC m=+16.310212,2024-07-29 07:41:16.374442 +0000 UTC m=+16.374442,0.06423,99760,1553168.3014167836,64.22999999999999,52.882
2024-07-29 07:41:26.479688 +0000 UTC m=+26.479688,2024-07-29 07:41:26.498221 +0000 UTC m=+26.498221,0.018533,5301,286030.324286408,18.533,8.119
2024-07-29 07:41:36.541416 +0000 UTC m=+36.541416,2024-07-29 07:41:36.550928 +0000 UTC m=+36.550928,0.009512,10775,1132779.6467619848,9.512,9.475000000000001
2024-07-29 07:41:46.590087 +0000 UTC m=+46.590087,2024-07-29 07:41:46.606019 +0000 UTC m=+46.606019,0.015932,20000,1255335.1744915892,15.932000000000002,12.615
2024-07-29 07:41:56.651634 +0000 UTC m=+56.651634,2024-07-29 07:41:56.674031 +0000 UTC m=+56.674031,0.022397,26208,1170156.7174175112,22.397,14.88
2024-07-29 07:42:06.716263 +0000 UTC m=+6.716263,2024-07-29 07:42:06.740283 +0000 UTC m=+6.740283,0.02402,31334,1304496.253122398,24.02,18.551000000000002
2024-07-29 07:42:16.794835 +0000 UTC m=+16.794835,2024-07-29 07:42:16.821064 +0000 UTC m=+16.821064,0.026229,40000,1525029.547447482,26.229,20.284
2024-07-29 07:42:26.878169 +0000 UTC m=+26.878169,2024-07-29 07:42:26.909181 +0000 UTC m=+26.909181,0.031012,46670,1504901.328517993,31.012,23.352
2024-07-29 07:42:36.971660 +0000 UTC m=+36.971660,2024-07-29 07:42:37.008827 +0000 UTC m=+37.008827,0.037167,51767,1392821.5890440445,37.167,25.461000000000002
2024-07-29 07:42:47.074518 +0000 UTC m=+47.074518,2024-07-29 07:42:47.113130 +0000 UTC m=+47.113130,0.038612,60000,1553921.0608101108,38.612,27.421
