start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,transaction_type
2024-07-28 23:12:19.864614 +0000 UTC m=+19.864614,2024-07-28 23:12:30.331111 +0000 UTC m=+30.331111,10.466497,10000,955.4295004336217,10466.497000000001,insertion
2024-07-28 23:12:35.332598 +0000 UTC m=+35.332598,2024-07-28 23:12:45.242369 +0000 UTC m=+45.242369,9.909771,10000,1009.1050539916614,9909.770999999999,insertion
2024-07-28 23:12:50.247727 +0000 UTC m=+50.247727,2024-07-28 23:13:00.888605 +0000 UTC m=+0.888605,10.640878,10000,939.7720751990578,10640.878,insertion
2024-07-28 23:13:05.893951 +0000 UTC m=+5.893951,2024-07-28 23:13:15.856204 +0000 UTC m=+15.856204,9.962253,10000,1003.7890023471598,9962.253,insertion
2024-07-28 23:13:20.860814 +0000 UTC m=+20.860814,2024-07-28 23:13:20.980886 +0000 UTC m=+20.980886,0.120072,10000,83283.36331534413,120.072,deletion
2024-07-28 23:13:20.981328 +0000 UTC m=+20.981328,2024-07-28 23:13:31.039419 +0000 UTC m=+31.039419,10.058091,10000,994.2244507431878,10058.090999999999,insertion
2024-07-28 23:13:36.044836 +0000 UTC m=+36.044836,2024-07-28 23:13:46.057789 +0000 UTC m=+46.057789,10.012953,10000,998.7063756316444,10012.953,insertion
2024-07-28 23:13:51.063102 +0000 UTC m=+51.063102,2024-07-28 23:14:00.948164 +0000 UTC m=+0.948164,9.885062,10000,1011.6274435102177,9885.062,insertion
2024-07-28 23:14:05.953504 +0000 UTC m=+5.953504,2024-07-28 23:14:15.783347 +0000 UTC m=+15.783347,9.829843,10000,1017.3102459520462,9829.843,insertion
2024-07-28 23:14:20.788679 +0000 UTC m=+20.788679,2024-07-28 23:14:30.608048 +0000 UTC m=+30.608048,9.819369,10000,1018.3953775441172,9819.369,insertion
2024-07-28 23:14:35.613392 +0000 UTC m=+35.613392,2024-07-28 23:14:46.156969 +0000 UTC m=+46.156969,10.543576999999999,10000,948.4447261114516,10543.577,insertion
2024-07-28 23:14:51.162308 +0000 UTC m=+51.162308,2024-07-28 23:15:01.448686 +0000 UTC m=+1.448686,10.286378,10000,972.1594909306269,10286.377999999999,insertion
2024-07-28 23:15:06.454053 +0000 UTC m=+6.454053,2024-07-28 23:15:16.888494 +0000 UTC m=+16.888494,10.434441,10000,958.3647077979549,10434.440999999999,insertion
2024-07-28 23:15:21.893897 +0000 UTC m=+21.893897,2024-07-28 23:15:31.678053 +0000 UTC m=+31.678053,9.784156,10000,1022.0605640384312,9784.155999999999,insertion
2024-07-28 23:15:36.683500 +0000 UTC m=+36.683500,2024-07-28 23:15:46.345093 +0000 UTC m=+46.345093,9.661593,10000,1035.0260045108503,9661.593,insertion
2024-07-28 23:15:51.350444 +0000 UTC m=+51.350444,2024-07-28 23:15:51.460668 +0000 UTC m=+51.460668,0.110224,10000,90724.34315575555,110.224,deletion
2024-07-28 23:15:51.461123 +0000 UTC m=+51.461123,2024-07-28 23:16:01.698825 +0000 UTC m=+1.698825,10.237702,10000,976.7817035502693,10237.702000000001,insertion
2024-07-28 23:16:06.704187 +0000 UTC m=+6.704187,2024-07-28 23:16:16.678656 +0000 UTC m=+16.678656,9.974469,10000,1002.5596350041292,9974.469,insertion
2024-07-28 23:16:21.683960 +0000 UTC m=+21.683960,2024-07-28 23:16:31.736424 +0000 UTC m=+31.736424,10.052464,10000,994.7809810609617,10052.464,insertion
2024-07-28 23:16:36.741810 +0000 UTC m=+36.741810,2024-07-28 23:16:46.637291 +0000 UTC m=+46.637291,9.895481,10000,1010.5622960622126,9895.481,insertion
2024-07-28 23:16:51.640597 +0000 UTC m=+51.640597,2024-07-28 23:17:01.378182 +0000 UTC m=+1.378182,9.737585,10000,1026.9486736187669,9737.585,insertion
2024-07-28 23:17:06.383515 +0000 UTC m=+6.383515,2024-07-28 23:17:16.080667 +0000 UTC m=+16.080667,9.697151999999999,10000,1031.2306128644782,9697.151999999998,insertion
2024-07-28 23:17:21.086068 +0000 UTC m=+21.086068,2024-07-28 23:17:31.063426 +0000 UTC m=+31.063426,9.977358,10000,1002.2693382356331,9977.358,insertion
2024-07-28 23:17:36.068776 +0000 UTC m=+36.068776,2024-07-28 23:17:47.338114 +0000 UTC m=+47.338114,11.269338,10000,887.3635700695107,11269.338,insertion
2024-07-28 23:17:52.343448 +0000 UTC m=+52.343448,2024-07-28 23:18:02.011953 +0000 UTC m=+2.011953,9.668505,10000,1034.2860659429768,9668.505,insertion
2024-07-28 23:18:07.017278 +0000 UTC m=+7.017278,2024-07-28 23:18:16.901519 +0000 UTC m=+16.901519,9.884241,10000,1011.7114708150075,9884.241,insertion
2024-07-28 23:18:21.906874 +0000 UTC m=+21.906874,2024-07-28 23:18:21.976540 +0000 UTC m=+21.976540,0.069666,10000,143542.04346453075,69.66600000000001,deletion
2024-07-28 23:18:21.977015 +0000 UTC m=+21.977015,2024-07-28 23:18:31.897655 +0000 UTC m=+31.897655,9.92064,10000,1007.9994839042641,9920.640000000001,insertion
2024-07-28 23:18:36.903023 +0000 UTC m=+36.903023,2024-07-28 23:18:46.970665 +0000 UTC m=+46.970665,10.067642,10000,993.2812469891163,10067.642,insertion
2024-07-28 23:18:51.976039 +0000 UTC m=+51.976039,2024-07-28 23:19:02.426023 +0000 UTC m=+2.426023,10.449984,10000,956.9392642132275,10449.984,insertion
2024-07-28 23:19:07.431387 +0000 UTC m=+7.431387,2024-07-28 23:19:16.946596 +0000 UTC m=+16.946596,9.515209,10000,1050.9490648077199,9515.209,insertion
2024-07-28 23:19:21.951954 +0000 UTC m=+21.951954,2024-07-28 23:19:32.011518 +0000 UTC m=+32.011518,10.059564,10000,994.0788686269107,10059.564,insertion
2024-07-28 23:19:37.016659 +0000 UTC m=+37.016659,2024-07-28 23:19:46.420287 +0000 UTC m=+46.420287,9.403628,10000,1063.4193526158203,9403.627999999999,insertion
2024-07-28 23:19:51.425671 +0000 UTC m=+51.425671,2024-07-28 23:20:00.883731 +0000 UTC m=+0.883731,9.45806,10000,1057.2992770187543,9458.06,insertion
2024-07-28 23:20:05.889084 +0000 UTC m=+5.889084,2024-07-28 23:20:15.197323 +0000 UTC m=+15.197323,9.308239,10000,1074.3170646993485,9308.239,insertion
2024-07-28 23:20:20.202676 +0000 UTC m=+20.202676,2024-07-28 23:20:30.185184 +0000 UTC m=+30.185184,9.982508,10000,1001.7522650620466,9982.508,insertion
2024-07-28 23:20:35.190526 +0000 UTC m=+35.190526,2024-07-28 23:20:45.205959 +0000 UTC m=+45.205959,10.015433,10000,998.4590781047609,10015.432999999999,insertion
2024-07-28 23:20:50.211288 +0000 UTC m=+50.211288,2024-07-28 23:20:50.316342 +0000 UTC m=+50.316342,0.105054,10000,95189.14082281494,105.05399999999999,deletion
2024-07-28 23:20:50.316851 +0000 UTC m=+50.316851,2024-07-28 23:20:59.898087 +0000 UTC m=+59.898087,9.581236,10000,1043.7066783450484,9581.236,insertion
2024-07-28 23:21:04.903442 +0000 UTC m=+4.903442,2024-07-28 23:21:15.133498 +0000 UTC m=+15.133498,10.230056,10000,977.5117555563723,10230.055999999999,insertion
2024-07-28 23:21:20.138848 +0000 UTC m=+20.138848,2024-07-28 23:21:29.900922 +0000 UTC m=+29.900922,9.762074,10000,1024.37248478141,9762.074,insertion
2024-07-28 23:21:34.906265 +0000 UTC m=+34.906265,2024-07-28 23:21:44.566867 +0000 UTC m=+44.566867,9.660602,10000,1035.13217913335,9660.602,insertion
2024-07-28 23:21:49.572204 +0000 UTC m=+49.572204,2024-07-28 23:21:59.538843 +0000 UTC m=+59.538843,9.966639,10000,1003.3472668168275,9966.639000000001,insertion
2024-07-28 23:22:04.544191 +0000 UTC m=+4.544191,2024-07-28 23:22:14.334044 +0000 UTC m=+14.334044,9.789853,10000,1021.4657972903167,9789.853000000001,insertion
2024-07-28 23:22:19.339360 +0000 UTC m=+19.339360,2024-07-28 23:22:29.151134 +0000 UTC m=+29.151134,9.811774,10000,1019.1836868643734,9811.774,insertion
2024-07-28 23:22:34.156497 +0000 UTC m=+34.156497,2024-07-28 23:22:43.914893 +0000 UTC m=+43.914893,9.758396,10000,1024.7585771268148,9758.395999999999,insertion
2024-07-28 23:22:48.920270 +0000 UTC m=+48.920270,2024-07-28 23:22:59.054075 +0000 UTC m=+59.054075,10.133805,10000,986.7961737965156,10133.805,insertion
2024-07-28 23:23:04.059456 +0000 UTC m=+4.059456,2024-07-28 23:23:13.363348 +0000 UTC m=+13.363348,9.303892,10000,1074.8190112266996,9303.892,insertion
2024-07-28 23:23:18.368706 +0000 UTC m=+18.368706,2024-07-28 23:23:18.435618 +0000 UTC m=+18.435618,0.066912,10000,149450.02391200382,66.912,deletion
2024-07-28 23:23:18.436088 +0000 UTC m=+18.436088,2024-07-28 23:23:28.760242 +0000 UTC m=+28.760242,10.324154,10000,968.6023668379995,10324.154,insertion
2024-07-28 23:23:33.765574 +0000 UTC m=+33.765574,2024-07-28 23:23:44.184288 +0000 UTC m=+44.184288,10.418714,10000,959.811354837075,10418.714,insertion
2024-07-28 23:23:49.189659 +0000 UTC m=+49.189659,2024-07-28 23:23:59.159491 +0000 UTC m=+59.159491,9.969832,10000,1003.0259286214653,9969.832,insertion
2024-07-28 23:24:04.164842 +0000 UTC m=+4.164842,2024-07-28 23:24:13.945578 +0000 UTC m=+13.945578,9.780736,10000,1022.4179448254201,9780.735999999999,insertion
2024-07-28 23:24:18.950929 +0000 UTC m=+18.950929,2024-07-28 23:24:29.284210 +0000 UTC m=+29.284210,10.333281,10000,967.7468366533341,10333.280999999999,insertion
2024-07-28 23:24:34.289586 +0000 UTC m=+34.289586,2024-07-28 23:24:43.911556 +0000 UTC m=+43.911556,9.62197,10000,1039.2882122891674,9621.97,insertion
2024-07-28 23:24:48.916943 +0000 UTC m=+48.916943,2024-07-28 23:24:58.340066 +0000 UTC m=+58.340066,9.423123,10000,1061.2193006501136,9423.123,insertion
2024-07-28 23:25:03.345410 +0000 UTC m=+3.345410,2024-07-28 23:25:14.588880 +0000 UTC m=+14.588880,11.24347,10000,889.4051391607751,11243.470000000001,insertion
2024-07-28 23:25:19.594227 +0000 UTC m=+19.594227,2024-07-28 23:25:29.218991 +0000 UTC m=+29.218991,9.624764,10000,1038.986514370638,9624.764000000001,insertion
2024-07-28 23:25:34.224343 +0000 UTC m=+34.224343,2024-07-28 23:25:44.127469 +0000 UTC m=+44.127469,9.903126,10000,1009.7821637329465,9903.126,insertion
2024-07-28 23:25:49.132833 +0000 UTC m=+49.132833,2024-07-28 23:25:49.240302 +0000 UTC m=+49.240302,0.107469,10000,93050.08886283486,107.469,deletion
2024-07-28 23:25:49.240920 +0000 UTC m=+49.240920,2024-07-28 23:25:50.250010 +0000 UTC m=+50.250010,1.00909,1000,990.9918837764718,1009.09,insertion
2024-07-28 23:25:55.255369 +0000 UTC m=+55.255369,2024-07-28 23:25:56.286650 +0000 UTC m=+56.286650,1.031281,1000,969.6678208945963,1031.281,insertion
2024-07-28 23:26:01.291994 +0000 UTC m=+1.291994,2024-07-28 23:26:02.307213 +0000 UTC m=+2.307213,1.015219,1000,985.0091458099188,1015.219,insertion
2024-07-28 23:26:07.312555 +0000 UTC m=+7.312555,2024-07-28 23:26:08.275455 +0000 UTC m=+8.275455,0.9629,1000,1038.5294423096896,962.9,insertion
2024-07-28 23:26:13.280795 +0000 UTC m=+13.280795,2024-07-28 23:26:14.377246 +0000 UTC m=+14.377246,1.096451,1000,912.0334606836055,1096.451,insertion
2024-07-28 23:26:19.382580 +0000 UTC m=+19.382580,2024-07-28 23:26:20.377254 +0000 UTC m=+20.377254,0.994674,1000,1005.3545181637402,994.674,insertion
2024-07-28 23:26:25.382624 +0000 UTC m=+25.382624,2024-07-28 23:26:26.446429 +0000 UTC m=+26.446429,1.063805,1000,940.0219025103286,1063.8049999999998,insertion
2024-07-28 23:26:31.451756 +0000 UTC m=+31.451756,2024-07-28 23:26:32.483337 +0000 UTC m=+32.483337,1.031581,1000,969.3858262220804,1031.5810000000001,insertion
2024-07-28 23:26:37.488690 +0000 UTC m=+37.488690,2024-07-28 23:26:38.500114 +0000 UTC m=+38.500114,1.011424,1000,988.7050336950674,1011.4240000000001,insertion
2024-07-28 23:26:43.505535 +0000 UTC m=+43.505535,2024-07-28 23:26:44.578646 +0000 UTC m=+44.578646,1.073111,1000,931.8700488579467,1073.1109999999999,insertion
2024-07-28 23:26:49.584005 +0000 UTC m=+49.584005,2024-07-28 23:26:49.596705 +0000 UTC m=+49.596705,0.0127,1000,78740.15748031497,12.7,deletion
